Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-01,99.27,104.53,99.2,104.4,4192216,0.0
2017-06-04,102.85,103.9,102.38,102.86,2244360,0.0
2017-06-05,102.76,103.81,102.37,102.65,1176022,0.0
2017-06-06,103,103.09,101.39,102.49,1392086,0.0
2017-06-07,102.35,103,101.3239,102.9,1111307,0.0
2017-06-08,102.96,104.2,96.51,98.04,2682177,0.0
2017-06-11,96.55,98.81,92.7948,97.36,3071506,0.0
2017-06-12,98.43,100.34,97.5,98.64,1010419,0.0
2017-06-13,99.6,100.38,97.29,98.58,1291340,0.0
2017-06-14,97.09,99.19,96.3,98.3,1354506,0.0
2017-06-15,98.17,99.39,97.46,98.34,885390,0.0
2017-06-18,99.08,100.66,98.58,100.21,844291,0.0
2017-06-19,100.15,100.82,98.72,98.91,655960,0.0
2017-06-20,99.71,102.31,99.4,102.27,1048255,0.0
2017-06-21,102.29,103.38,101.2,102.84,1150476,0.0
2017-06-22,102.91,104.315,102.81,103.36,698299,0.0
2017-06-25,103.68,104.8,101.63,102.24,944023,0.0
2017-06-26,101.93,102.46,98.21,98.35,1764499,0.0
2017-06-27,99.16,99.3,96.63,98.87,1620860,0.0
2017-06-28,98.57,98.714,95.79,96.47,1212717,0.0
2017-06-29,97.1,98.25,96.04,97,680087,0.0
2017-07-02,97.75,97.82,94.4,95.62,412468,0.0
2017-07-04,95.67,97.51,95.6,96.94,672130,0.0
2017-07-05,95.98,96.96,95.432,95.64,459743,0.0
2017-07-06,96.42,97.77,95.905,97.1,930803,0.0
2017-07-09,97.45,98.68,96.87,98.41,726459,0.0
2017-07-10,98.05,99.7795,97.7501,99.37,786220,0.0
2017-07-11,100.45,103.31,100.08,102.99,2061031,0.0
2017-07-12,103.68,104.11,102.0709,102.22,891368,0.0
2017-07-13,102.74,104.6393,102.65,103.78,877604,0.0
2017-07-16,103.78,104,101.95,102.9,1207166,0.0
2017-07-17,102.14,103.0448,101.81,102.54,637659,0.0
2017-07-18,102.92,103.35,102.23,102.69,616463,0.0
2017-07-19,102.75,103.51,101.73,103.14,558318,0.0
2017-07-20,102.52,103.32,102,102.59,401070,0.0
2017-07-23,102.75,103.9,102.35,103.65,568577,0.0
2017-07-24,103.64,104.32,102.77,103.88,412489,0.0
2017-07-25,104.44,106.26,104.06,105.21,711616,0.0
2017-07-26,105.66,106.75,101.011,102.68,907488,0.0
2017-07-27,102.3,103.98,101.85,103.21,546406,0.0
2017-07-30,103.36,103.6672,101.23,102.08,451030,0.0
2017-07-31,103.13,103.6249,102.2,103.5,472205,0.0
2017-08-01,104,104,98.2,100.12,1195879,0.0
2017-08-02,100.29,101.22,99.21,100.93,719854,0.0
2017-08-03,101,102.18,100.805,101.17,630032,0.0
2017-08-06,101.03,101.99,100.31,100.79,517449,0.0
2017-08-07,100.54,101.94,99.1,101.03,861605,0.0
2017-08-08,100.19,101.92,99.615,101.16,380276,0.0
2017-08-09,100.17,100.63,96.83,98.14,1216678,0.0
2017-08-10,98.17,99.96,98.08,99.43,495581,0.0
2017-08-13,100.59,102.78,100.08,102.37,492965,0.0
2017-08-14,102.55,102.55,101.13,101.91,599042,0.0
2017-08-15,102.12,106.59,102.12,106.21,1221851,0.0
2017-08-16,105.71,106.19,102.76,102.94,745627,0.0
2017-08-17,102.72,103.33,101.26,101.43,1399503,0.0
2017-08-20,101.44,102.44,100.785,101.31,800554,0.0
2017-08-21,102.2,105.1,101.57,104.89,1018418,0.0
2017-08-22,103.74,106,103.59,103.78,962144,0.0
2017-08-23,104.33,105.28,104.02,104.39,504219,0.0
2017-08-24,105.4,105.6,103.21,103.56,546569,0.0
2017-08-27,104.02,104.31,102.45,103.5,920983,0.0
2017-08-28,102.61,105.14,102.445,104.42,883211,0.0
2017-08-29,104.28,107.88,104.17,107.521,2508372,0.0
2017-08-30,109.44,111.45,107.21,109.7,3606682,0.0
2017-08-31,109.6,109.69,108.11,108.83,1499677,0.0
2017-09-04,108.05,108.4199,106.11,108.2,1290608,0.0
2017-09-05,108.16,108.9699,106.17,108.42,1146233,0.0
2017-09-06,109.09,110.33,108.32,109.82,1400671,0.0
2017-09-07,109.75,110.95,107.71,107.9,1090345,0.0
2017-09-10,108.97,109.28,107.75,108.265,1268880,0.0
2017-09-11,108.3,109.25,105.3,106.98,2020111,0.0
2017-09-12,107.29,107.87,106.62,106.99,2376698,0.0
2017-09-13,106.6,106.8,105.12,105.54,1158053,0.0
2017-09-14,105.61,105.97,103.75,105.05,1464034,0.0
2017-09-17,104.97,106.91,104.97,106.56,1162503,0.0
2017-09-18,106.82,107.25,105.82,106.28,1023126,0.0
2017-09-19,105.79,106.1245,103.875,104.99,1026154,0.0
2017-09-20,104.57,104.83,102.6,103.83,1243759,0.0
2017-09-21,103.38,104.52,103.25,103.83,930567,0.0
2017-09-24,103.96,104.24,99.8,100.15,2098847,0.0
2017-09-25,100.92,101.47,98.46,99.8,1912957,0.0
2017-09-26,100.27,101.4,99.7,100.76,1596767,0.0
2017-09-27,100.47,101.97,99.95,101.82,958852,0.0
2017-09-28,102.19,105.66,102.09,105.41,1731265,0.0
2017-10-01,105.3,105.849,102.78,103.32,1137167,0.0
2017-10-02,103.19,105.28,103.161,104.51,835401,0.0
2017-10-03,104.95,105.59,103.69,105.27,581369,0.0
2017-10-04,105.91,107.53,104.995,107.02,1038953,0.0
2017-10-05,106.7,110.59,106.231,110.24,1742544,0.0
2017-10-08,110.23,110.23,108.06,108.74,1149069,0.0
2017-10-09,109.63,110.17,107.56,108.3,985516,0.0
2017-10-10,108.18,109.53,106.28,108.51,1265254,0.0
2017-10-11,108.46,109.04,107.19,108.65,774532,0.0
2017-10-12,108.65,109.74,108.09,109.33,1244781,0.0
2017-10-15,109.36,110.29,106.87,107.26,1260215,0.0
2017-10-16,106.8,107.81,106.23,107.63,571454,0.0
2017-10-17,107.51,107.78,105.89,107.18,877095,0.0
2017-10-18,106.79,107.58,105.403,106.79,699241,0.0
2017-10-19,107.01,109.43,106.82,108.52,665514,0.0
2017-10-22,109.22,109.22,107.33,107.75,586969,0.0
2017-10-23,108.1,108.27,106.79,107.17,607072,0.0
2017-10-24,107.19,107.91,104.512,105.81,1063339,0.0
2017-10-25,104.74,107.68,104.56,107.1201,532119,0.0
2017-10-26,108.02,109.55,107.11,108.52,737431,0.0
2017-10-29,108.6,109.26,107.695,108.43,746260,0.0
2017-10-30,108.12,111.83,107.895,110.9401,1433342,0.0
2017-10-31,111.94,111.94,108.55,110.31,859343,0.0
2017-11-01,109.92,111.66,109.18,110.59,494572,0.0
2017-11-02,107.66,110.93,107.44,109.73,876920,0.0
2017-11-05,110,110.6,108.3,108.34,651423,0.0
2017-11-06,108.25,108.98,107.57,108.57,525915,0.0
2017-11-07,108.14,111.87,107.77,110.8803,917544,0.0
2017-11-08,108.42,109.36,104.5,106.17,1570998,0.0
2017-11-09,105.79,107.5,104.85,107.31,844878,0.0
2017-11-12,106.58,106.99,105.51,106.14,592391,0.0
2017-11-13,106.04,107.55,105.55,107.45,549281,0.0
2017-11-14,106.59,107.35,105.26,106.69,517751,0.0
