Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-31,124.76,126.92,123.43,126.92,191496,0.0
2017-06-01,127.21,128.66,126.82,126.89,201214,0.0
2017-06-04,127.11,128.099,126.26,126.61,218931,0.0
2017-06-05,126.5,126.86,123.22,123.28,182083,0.0
2017-06-06,123.71,125.36,122.68,123.14,216405,0.0
2017-06-07,123.01,124.64,121.68,123.66,319561,0.0
2017-06-08,123.96,124.05,123.26,123.7,250820,0.0
2017-06-11,123.51,126.37,123.51,124.93,313357,0.0
2017-06-12,124.87,127.65,124.62,127.26,236871,0.0
2017-06-13,127.88,128.67,126.86,127.97,300327,0.0
2017-06-14,127.41,128.05,126.42,127.82,186151,0.0
2017-06-15,127.02,129.994,127.02,129.04,629461,0.0
2017-06-18,129.39,131.41,128.21,131.35,283134,0.0
2017-06-19,131.38,131.38,128.4,128.66,199048,0.0
2017-06-20,128.6,129.92,127.87,129.59,180676,0.0
2017-06-21,129.73,129.73,129.07,129.16,174867,0.0
2017-06-22,129.31,130.29,129.03,129.41,177353,0.0
2017-06-25,130.01,130.48,127.76,128.1,110050,0.0
2017-06-26,126.61,127.46,124.67,125.82,400433,0.0
2017-06-27,126.83,127.52,125.31,125.39,211829,0.0
2017-06-28,125.12,126.08,122.28,123,299159,0.0
2017-06-29,123.95,126.53,123.74,126.03,311237,0.0
2017-07-02,126.77,127.11,125.94,125.995,190042,0.0
2017-07-04,126.09,128.26,124.45,124.75,509587,0.0
2017-07-05,124.04,125.34,122.07,122.39,325575,0.0
2017-07-06,122.7,126.63,122.7,126.13,354233,0.0
2017-07-09,125.8,126.99,125.47,126.56,349033,0.0
2017-07-10,126.02,126.46,123.78,124.47,208922,0.0
2017-07-11,125.61,127.45,125.07,125.78,197073,0.0
2017-07-12,125.98,127.68,125.79,126.46,184692,0.0
2017-07-13,126.74,126.93,126.14,126.47,171206,0.0
2017-07-16,126.38,126.56,124.39,124.82,194370,0.0
2017-07-17,124.81,126.2145,123.99,124.06,207255,0.0
2017-07-18,124.26,126.16,123.7,124.71,273271,0.0
2017-07-19,125.24,126.85,124.06,126.72,343614,0.0
2017-07-20,131.24,139.39,131.13,136.93,1986655,0.0
2017-07-23,136.81,138.81,134.93,138.27,754738,0.0
2017-07-24,138.7,138.7,136.71,137.31,590710,0.0
2017-07-25,137.21,137.965,135.16,135.63,381181,0.0
2017-07-26,135.55,136.815,133.73,134.35,476100,0.0
2017-07-27,134.4,136.23,133.89,135.58,448213,0.0
2017-07-30,135.7,135.9,133.19,133.39,344607,0.0
2017-07-31,136.6,139.74,134.35,135.51,389401,0.0
2017-08-01,135.11,135.59,133.77,134.99,440093,0.0
2017-08-02,135.03,135.61,133.66,134.12,303021,0.0
2017-08-03,134.64,135.28,133.24,133.54,228883,0.0
2017-08-06,133.4,135.35,132.72,132.99,302495,0.0
2017-08-07,132.94,134.83,131.63,131.95,593650,0.0
2017-08-08,131.78,133.65,131.06,133.34,432616,0.0
2017-08-09,132.87,133.09,130.68,130.84,492630,0.0
2017-08-10,131.32,131.73,130.09,130.34,359064,0.0
2017-08-13,131.4,133.3215,130.49,131.51,214341,0.0
2017-08-14,131.34,133.7175,130.79,133.15,300118,0.0
2017-08-15,133.31,134.14,133.17,133.36,222720,0.0
2017-08-16,133.17,133.4526,130.92,131.2,283298,0.0
2017-08-17,130.91,132.48,130.17,131.17,658842,0.0
2017-08-20,131.13,134.87,130.6,133.9,628012,0.0
2017-08-21,133.92,135.24,133.15,133.8,243284,0.0
2017-08-22,133.49,134.65,132.59,134.05,282662,0.0
2017-08-23,134.09,134.1,131.62,133.21,358681,0.0
2017-08-24,133.9,135.1,133.34,133.83,230262,0.0
2017-08-27,134.35,134.73,133.2,133.87,209590,0.0
2017-08-28,133.13,133.61,131.14,131.53,273757,0.0
2017-08-29,131.44,134.01,131.06,133.77,173681,0.0
2017-08-30,133.91,135.28,133.57,134.97,244914,0.0
2017-08-31,135.71,135.71,134.29,134.56,209676,0.0
2017-09-04,134.22,134.71,132.6,133.29,283543,0.0
2017-09-05,133.74,134.16,132.83,133.4,335394,0.0
2017-09-06,133.56,133.56,130.73,131.7,201572,0.0
2017-09-07,131.27,133.75,130.32,132.27,201592,0.0
2017-09-10,132.49,135.16,132.06,135.01,214452,0.0
2017-09-11,134.92,135.61,134.41,134.69,244631,0.0
2017-09-12,134.61,135.32,133.57,135.26,235137,0.0
2017-09-13,134.82,134.82,132.08,133.15,223318,0.0
2017-09-14,132.96,134.955,132.11,134.31,403985,0.0
2017-09-17,134.22,134.51,132.53,132.85,303072,0.0
2017-09-18,132.97,134.8,132.63,134.75,330209,0.0
2017-09-19,135,136.73,134.83,136.53,413506,0.0
2017-09-20,136.42,137.63,135.51,137.48,308200,0.0
2017-09-21,137.37,139,135.02,135.17,395180,0.0
2017-09-24,135.37,137.39,134.82,136.87,441318,0.0
2017-09-25,136.94,137.13,136.07,136.12,481312,0.0
2017-09-26,143.41,145,141.88,142.45,2252304,0.0
2017-09-27,142.11,143.3,140.28,141.22,607146,0.0
