Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-29,64.78,65.47,64.36,65.42,839217,0.0
2017-05-30,65.4,65.58,64.8773,65.35,994748,0.0
2017-05-31,65.5,66.8589,65.4175,66.69,997779,0.0
2017-06-01,66.74,67.67,66.443,67.42,1289014,0.0
2017-06-04,67.63,69.28,67.0737,67.91,3313509,0.0
2017-06-05,67.94,69.25,67.75,68.23,1638737,0.0
2017-06-06,68.35,68.74,67.77,68.16,785723,0.0
2017-06-07,68.12,68.42,67.56,68.11,732542,0.0
2017-06-08,68.01,68.16,66.05,66.28,1708037,0.0
2017-06-11,67.37,67.37,64.79,65.79,2007091,0.0
2017-06-12,65.82,66.64,65.7,66.465,1074344,0.0
2017-06-13,66.53,66.98,65.46,65.92,897630,0.0
2017-06-14,65.55,66.07,65.15,65.94,876932,0.0
2017-06-15,65.7,66.29,65.53,66.05,1721650,0.0
2017-06-18,66.17,67.4,65.89,67.34,870980,0.0
2017-06-19,67.32,67.4601,66.8,66.85,697497,0.0
2017-06-20,67,67.52,66.86,67.14,694260,0.0
2017-06-21,66.89,67.72,66.77,67.345,714279,0.0
2017-06-22,67.57,68.41,67.15,68.31,1246877,0.0
2017-06-25,68.33,68.71,67.15,67.31,911187,0.0
2017-06-26,67.21,67.385,66.28,66.34,956984,0.0
2017-06-27,66.56,67.29,65.93,67.15,783059,0.0
2017-06-28,67.06,67.14,65.36,66.14,835798,0.0
2017-06-29,66.52,66.83,66.16,66.48,928382,0.0
2017-07-02,66.77,66.98,65.13,65.49,789831,0.0
2017-07-04,65.51,66.89,65.33,66.59,766650,0.0
2017-07-05,66.18,66.57,64.95,65.02,1065462,0.0
2017-07-06,65.29,66.04,65.18,65.74,1076949,0.0
2017-07-09,65.48,65.645,64.62,65.34,1736900,0.0
2017-07-10,65.18,65.46,64.8352,65.31,775011,0.0
2017-07-11,66.16,66.499,65.565,65.71,708848,0.0
2017-07-12,65.94,65.95,64.785,65.22,570356,0.0
2017-07-13,65.33,65.99,65.31,65.82,640952,0.0
2017-07-16,65.85,66.45,65.56,66.24,967196,0.0
2017-07-17,66.17,66.22,65.48,66.15,659666,0.0
2017-07-18,66.34,66.34,65.46,65.571,724613,0.0
2017-07-19,65.71,65.93,65.26,65.48,728790,0.0
2017-07-20,65.21,65.83,65.12,65.37,762735,0.0
2017-07-23,65.25,65.77,65,65.76,706439,0.0
2017-07-24,65.82,65.97,65.31,65.55,710996,0.0
2017-07-25,65.57,65.9,64.43,64.62,1174729,0.0
2017-07-26,63.43,64.08,62.57,63.53,2380175,0.0
2017-07-27,64.6,65.61,64.17,64.62,2198237,0.0
2017-07-30,64.48,65.4,64.04,64.38,977409,0.0
2017-07-31,64.48,64.97,64.15,64.81,1288865,0.0
2017-08-01,64.81,64.85,63.88,64.07,1106606,0.0
2017-08-02,63.9,64.29,63.25,63.57,1433054,0.0
2017-08-03,63.53,63.97,62.9,63.08,1009608,0.0
2017-08-06,63.14,63.65,62.74,63.38,1101000,0.0
2017-08-07,63.18,63.49,62.86,63.15,896648,0.0
2017-08-08,62.97,63.05,62.36,62.5,1119155,0.0
2017-08-09,62.58,62.71,61.55,61.61,1190859,0.0
2017-08-10,61.85,62.32,61.53,62.11,867067,0.0
2017-08-13,62.36,63.25,62.35,62.9,1009429,0.0
2017-08-14,62.96,63.61,62.67,63.45,869959,0.0
2017-08-15,63.45,64.01,63.15,63.97,1214803,0.0
2017-08-16,63.81,64.69,63.3,63.36,1488635,0.0
2017-08-17,63.28,64.565,63.19,64.24,1739516,0.0
2017-08-20,64.19,64.97,63.69,64.94,1096173,0.0
2017-08-21,65.01,65.55,64.76,65.37,860993,0.0
2017-08-22,65.22,65.39,64.6,64.79,901157,0.0
2017-08-23,64.81,65.36,64.36,65.05,1121896,0.0
2017-08-24,65.34,65.5,65.01,65.25,887690,0.0
2017-08-27,65.3,65.49,64.45,64.64,1211056,0.0
2017-08-28,64.27,65.77,64.02,65.27,1070281,0.0
2017-08-29,65.18,66.29,64.86,66.13,824541,0.0
2017-08-30,66.26,67.8516,65.99,67.79,1474273,0.0
2017-08-31,67.86,68.42,67.1,68.28,1245871,0.0
2017-09-04,67.97,68.45,66.91,67.56,1714559,0.0
2017-09-05,67.86,68.27,67.3,67.64,999087,0.0
2017-09-06,67.71,69.91,67.65,69,2161730,0.0
2017-09-07,69.17,69.85,68.79,69.35,1245624,0.0
2017-09-10,69.61,70.5,69.3,70.49,1345732,0.0
2017-09-11,70.3,71.07,69.88,70.97,1188641,0.0
2017-09-12,70.7,71.13,70.25,70.51,1226993,0.0
2017-09-13,70,72.27,69.77,71.93,2522763,0.0
2017-09-14,71.92,72.19,71.26,71.62,2162757,0.0
2017-09-17,71.43,71.43,69.07,69.32,2307459,0.0
2017-09-18,70.18,70.3,69.42,69.66,2065884,0.0
2017-09-19,69.78,69.95,68.87,69.69,926964,0.0
2017-09-20,69.66,69.95,69.2,69.49,613429,0.0
2017-09-21,69.32,69.72,68.97,69.62,765396,0.0
2017-09-24,69.46,69.75,68.68,69.39,759494,0.0
2017-09-25,69.51,70,69.08,69.86,2022716,0.0
2017-09-26,70,71.49,69.85,71.06,1402797,0.0
2017-09-27,70.64,71.38,70.53,70.79,1049283,0.0
2017-09-28,70.95,71.46,70.65,71.31,1206113,0.0
2017-10-01,71.35,72.82,71.33,72.32,1597339,0.0
2017-10-02,72.2,72.76,71.91,72.06,1382305,0.0
2017-10-03,72.02,72.41,71.58,71.8,947704,0.0
2017-10-04,72.02,72.05,71.23,71.56,1332834,0.0
2017-10-05,71.53,71.895,71.26,71.53,712915,0.0
2017-10-08,71.52,71.72,71.29,71.44,919927,0.0
2017-10-09,71.62,71.65,71.265,71.42,1183063,0.0
2017-10-10,71.08,71.58,70.91,71.5,977384,0.0
2017-10-11,71.64,72.07,71.39,71.74,1532511,0.0
2017-10-12,73.06,73.86,72.07,73.57,1657618,0.0
2017-10-15,73.5,73.57,71.46,72.09,1715944,0.0
2017-10-16,71.97,72.81,71.9,72.52,1304775,0.0
2017-10-17,72.4,72.75,72.16,72.68,597307,0.0
2017-10-18,72.66,73.34,72.21,72.795,1033580,0.0
2017-10-19,72.83,73.3715,72.51,73.01,2401368,0.0
2017-10-22,73.22,73.46,72.325,72.45,1482910,0.0
2017-10-23,73,73.03,72.17,72.38,3111184,0.0
